bucket,property_a,property_a_label,property_a_unique_systems,property_b,property_b_label,property_b_unique_systems,shared_systems,property_a_overlap_ratio,property_b_overlap_ratio
experiment,dynamic_relative_permittivity,dynamic_relative_permittivity_unitless,49,density,density_g/cm^3,5966,48,0.9795918367346939,0.008045591686221924
experiment,dynamic_relative_permittivity,dynamic_relative_permittivity_unitless,49,dynamic_relative_permittivity,dynamic_relative_permittivity_unitless,49,49,1.0,1.0
experiment,dynamic_relative_permittivity,dynamic_relative_permittivity_unitless,49,electrical_conductivity,electrical_conductivity_S/m_log10,703,40,0.8163265306122449,0.05689900426742532
experiment,dynamic_relative_permittivity,dynamic_relative_permittivity_unitless,49,equilibrium_pressure,pressure_kPa_log10,95,20,0.40816326530612246,0.21052631578947367
experiment,dynamic_relative_permittivity,dynamic_relative_permittivity_unitless,49,glass_transition_temperature,glass_transition_temperature_K,793,22,0.4489795918367347,0.027742749054224466
experiment,dynamic_relative_permittivity,dynamic_relative_permittivity_unitless,49,heat_capacity,heat_capacity_J/mol/K,352,31,0.6326530612244898,0.08806818181818182
experiment,dynamic_relative_permittivity,dynamic_relative_permittivity_unitless,49,melting_point,melting_point_K,3460,32,0.6530612244897959,0.009248554913294798
experiment,dynamic_relative_permittivity,dynamic_relative_permittivity_unitless,49,pec50,pEC50,305,19,0.3877551020408163,0.06229508196721312
experiment,dynamic_relative_permittivity,dynamic_relative_permittivity_unitless,49,refractive_index,refractive_index_unitless,726,38,0.7755102040816326,0.05234159779614325
experiment,dynamic_relative_permittivity,dynamic_relative_permittivity_unitless,49,self_diffusion_coefficient,self_diffusion_coefficient_10^-9*m^2/s_log10,36,9,0.1836734693877551,0.25
experiment,dynamic_relative_permittivity,dynamic_relative_permittivity_unitless,49,solvation,solvation_kcal/mol,74,14,0.2857142857142857,0.1891891891891892
experiment,dynamic_relative_permittivity,dynamic_relative_permittivity_unitless,49,speed_of_sound,speed_of_sound_m/s,216,31,0.6326530612244898,0.14351851851851852
experiment,dynamic_relative_permittivity,dynamic_relative_permittivity_unitless,49,static_relative_permittivity,static_relative_permittivity_unitless,44,20,0.40816326530612246,0.45454545454545453
experiment,dynamic_relative_permittivity,dynamic_relative_permittivity_unitless,49,surface_tension,surface_tension_mN/m,1141,40,0.8163265306122449,0.035056967572304996
experiment,dynamic_relative_permittivity,dynamic_relative_permittivity_unitless,49,thermal_conductivity,thermal_conductivity_W/m/K,93,28,0.5714285714285714,0.3010752688172043
experiment,dynamic_relative_permittivity,dynamic_relative_permittivity_unitless,49,thermal_decomposition_temperature,thermal_decomposition_temperature_K,2756,26,0.5306122448979592,0.009433962264150943
experiment,dynamic_relative_permittivity,dynamic_relative_permittivity_unitless,49,transfer,transfer_kcal/mol,64,13,0.2653061224489796,0.203125
experiment,dynamic_relative_permittivity,dynamic_relative_permittivity_unitless,49,viscosity,viscosity_mPa*s_log10,2586,46,0.9387755102040817,0.017788089713843776
experiment,dynamic_relative_permittivity,dynamic_relative_permittivity_unitless,49,x_co2,x_CO2_unitless,122,27,0.5510204081632653,0.22131147540983606
experiment,electrical_conductivity,electrical_conductivity_S/m_log10,703,density,density_g/cm^3,5966,642,0.9132290184921764,0.10760978880321824
experiment,electrical_conductivity,electrical_conductivity_S/m_log10,703,dynamic_relative_permittivity,dynamic_relative_permittivity_unitless,49,40,0.05689900426742532,0.8163265306122449
experiment,electrical_conductivity,electrical_conductivity_S/m_log10,703,electrical_conductivity,electrical_conductivity_S/m_log10,703,703,1.0,1.0
experiment,electrical_conductivity,electrical_conductivity_S/m_log10,703,equilibrium_pressure,pressure_kPa_log10,95,51,0.07254623044096728,0.5368421052631579
experiment,electrical_conductivity,electrical_conductivity_S/m_log10,703,glass_transition_temperature,glass_transition_temperature_K,793,112,0.1593172119487909,0.14123581336696092
experiment,electrical_conductivity,electrical_conductivity_S/m_log10,703,heat_capacity,heat_capacity_J/mol/K,352,132,0.18776671408250356,0.375
experiment,electrical_conductivity,electrical_conductivity_S/m_log10,703,melting_point,melting_point_K,3460,260,0.36984352773826457,0.07514450867052024
experiment,electrical_conductivity,electrical_conductivity_S/m_log10,703,pec50,pEC50,305,78,0.11095305832147938,0.25573770491803277
experiment,electrical_conductivity,electrical_conductivity_S/m_log10,703,refractive_index,refractive_index_unitless,726,258,0.3669985775248933,0.35537190082644626
experiment,electrical_conductivity,electrical_conductivity_S/m_log10,703,self_diffusion_coefficient,self_diffusion_coefficient_10^-9*m^2/s_log10,36,31,0.044096728307254626,0.8611111111111112
experiment,electrical_conductivity,electrical_conductivity_S/m_log10,703,solvation,solvation_kcal/mol,74,40,0.05689900426742532,0.5405405405405406
experiment,electrical_conductivity,electrical_conductivity_S/m_log10,703,speed_of_sound,speed_of_sound_m/s,216,97,0.1379800853485064,0.44907407407407407
experiment,electrical_conductivity,electrical_conductivity_S/m_log10,703,static_relative_permittivity,static_relative_permittivity_unitless,44,33,0.04694167852062589,0.75
experiment,electrical_conductivity,electrical_conductivity_S/m_log10,703,surface_tension,surface_tension_mN/m,1141,263,0.3741109530583215,0.23049956178790534
experiment,electrical_conductivity,electrical_conductivity_S/m_log10,703,thermal_conductivity,thermal_conductivity_W/m/K,93,61,0.08677098150782361,0.6559139784946236
experiment,electrical_conductivity,electrical_conductivity_S/m_log10,703,thermal_decomposition_temperature,thermal_decomposition_temperature_K,2756,169,0.24039829302987198,0.06132075471698113
experiment,electrical_conductivity,electrical_conductivity_S/m_log10,703,transfer,transfer_kcal/mol,64,34,0.04836415362731152,0.53125
experiment,electrical_conductivity,electrical_conductivity_S/m_log10,703,viscosity,viscosity_mPa*s_log10,2586,619,0.8805120910384068,0.23936581593194123
experiment,electrical_conductivity,electrical_conductivity_S/m_log10,703,x_co2,x_CO2_unitless,122,67,0.0953058321479374,0.5491803278688525
experiment,equilibrium_pressure,pressure_kPa_log10,95,density,density_g/cm^3,5966,83,0.8736842105263158,0.01391216895742541
experiment,equilibrium_pressure,pressure_kPa_log10,95,dynamic_relative_permittivity,dynamic_relative_permittivity_unitless,49,20,0.21052631578947367,0.40816326530612246
experiment,equilibrium_pressure,pressure_kPa_log10,95,electrical_conductivity,electrical_conductivity_S/m_log10,703,51,0.5368421052631579,0.07254623044096728
experiment,equilibrium_pressure,pressure_kPa_log10,95,equilibrium_pressure,pressure_kPa_log10,95,95,1.0,1.0
experiment,equilibrium_pressure,pressure_kPa_log10,95,glass_transition_temperature,glass_transition_temperature_K,793,33,0.3473684210526316,0.0416141235813367
experiment,equilibrium_pressure,pressure_kPa_log10,95,heat_capacity,heat_capacity_J/mol/K,352,53,0.5578947368421052,0.15056818181818182
experiment,equilibrium_pressure,pressure_kPa_log10,95,melting_point,melting_point_K,3460,55,0.5789473684210527,0.015895953757225433
experiment,equilibrium_pressure,pressure_kPa_log10,95,pec50,pEC50,305,33,0.3473684210526316,0.10819672131147541
experiment,equilibrium_pressure,pressure_kPa_log10,95,refractive_index,refractive_index_unitless,726,52,0.5473684210526316,0.07162534435261708
experiment,equilibrium_pressure,pressure_kPa_log10,95,self_diffusion_coefficient,self_diffusion_coefficient_10^-9*m^2/s_log10,36,19,0.2,0.5277777777777778
experiment,equilibrium_pressure,pressure_kPa_log10,95,solvation,solvation_kcal/mol,74,21,0.22105263157894736,0.28378378378378377
experiment,equilibrium_pressure,pressure_kPa_log10,95,speed_of_sound,speed_of_sound_m/s,216,34,0.35789473684210527,0.1574074074074074
experiment,equilibrium_pressure,pressure_kPa_log10,95,static_relative_permittivity,static_relative_permittivity_unitless,44,22,0.23157894736842105,0.5
experiment,equilibrium_pressure,pressure_kPa_log10,95,surface_tension,surface_tension_mN/m,1141,75,0.7894736842105263,0.06573181419807186
experiment,equilibrium_pressure,pressure_kPa_log10,95,thermal_conductivity,thermal_conductivity_W/m/K,93,30,0.3157894736842105,0.3225806451612903
experiment,equilibrium_pressure,pressure_kPa_log10,95,thermal_decomposition_temperature,thermal_decomposition_temperature_K,2756,40,0.42105263157894735,0.01451378809869376
experiment,equilibrium_pressure,pressure_kPa_log10,95,transfer,transfer_kcal/mol,64,18,0.18947368421052632,0.28125
experiment,equilibrium_pressure,pressure_kPa_log10,95,viscosity,viscosity_mPa*s_log10,2586,75,0.7894736842105263,0.029002320185614848
experiment,equilibrium_pressure,pressure_kPa_log10,95,x_co2,x_CO2_unitless,122,34,0.35789473684210527,0.2786885245901639
